id,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020
189,Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg CH4,Gas oil tonnes,3.31
190,Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg CO2,Gas oil tonnes,3190
191,Scope 1,Fuels,Liquid fuels,Gas oil,,Tonnes,tonnes,tonnes,kg N2O,Gas oil tonnes,36.03
192,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Lubricants kWh (Gross CV),0.26443
193,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Lubricants kWh (Gross CV),0.00025
194,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Lubricants kWh (Gross CV),0.26357
195,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Lubricants kWh (Gross CV),0.00061
196,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Lubricants kWh (Net CV),0.28131
197,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Lubricants kWh (Net CV),0.00027
198,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Lubricants kWh (Net CV),0.28039
199,Scope 1,Fuels,Liquid fuels,Lubricants,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Lubricants kWh (Net CV),0.00064
200,Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,litres,kg CO2e,Lubricants litres,
201,Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,litres,kg CH4,Lubricants litres,
202,Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,litres,kg CO2,Lubricants litres,
203,Scope 1,Fuels,Liquid fuels,Lubricants,,Volume,litres,litres,kg N2O,Lubricants litres,
204,Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,tonnes,kg CO2e,Lubricants tonnes,3181.42
205,Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,tonnes,kg CH4,Lubricants tonnes,3.05
206,Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,tonnes,kg CO2,Lubricants tonnes,3171.09
207,Scope 1,Fuels,Liquid fuels,Lubricants,,Tonnes,tonnes,tonnes,kg N2O,Lubricants tonnes,7.28
208,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Naphtha kWh (Gross CV),0.23653
209,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Naphtha kWh (Gross CV),0.00026
210,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Naphtha kWh (Gross CV),0.23566
211,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Naphtha kWh (Gross CV),0.00061
212,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Naphtha kWh (Net CV),0.24898
213,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Naphtha kWh (Net CV),0.00027
214,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Naphtha kWh (Net CV),0.24807
215,Scope 1,Fuels,Liquid fuels,Naphtha,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Naphtha kWh (Net CV),0.00064
216,Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,litres,kg CO2e,Naphtha litres,
217,Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,litres,kg CH4,Naphtha litres,
218,Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,litres,kg CO2,Naphtha litres,
219,Scope 1,Fuels,Liquid fuels,Naphtha,,Volume,litres,litres,kg N2O,Naphtha litres,
220,Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,tonnes,kg CO2e,Naphtha tonnes,3142.87
221,Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,tonnes,kg CH4,Naphtha tonnes,3.41
222,Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,tonnes,kg CO2,Naphtha tonnes,3131.33
223,Scope 1,Fuels,Liquid fuels,Naphtha,,Tonnes,tonnes,tonnes,kg N2O,Naphtha tonnes,8.13
224,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Petrol (average biofuel blend) kWh (Gross CV),0.2292
225,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Petrol (average biofuel blend) kWh (Gross CV),0.00071
226,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Petrol (average biofuel blend) kWh (Gross CV),0.22786
227,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Petrol (average biofuel blend) kWh (Gross CV),0.00064
228,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Petrol (average biofuel blend) kWh (Net CV),0.24164
229,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Petrol (average biofuel blend) kWh (Net CV),0.00075
230,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Petrol (average biofuel blend) kWh (Net CV),0.24022
231,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Petrol (average biofuel blend) kWh (Net CV),0.00067
232,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,litres,kg CO2e,Petrol (average biofuel blend) litres,2.16802
233,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,litres,kg CH4,Petrol (average biofuel blend) litres,0.00669
234,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,litres,kg CO2,Petrol (average biofuel blend) litres,2.15532
235,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Volume,litres,litres,kg N2O,Petrol (average biofuel blend) litres,0.00601
236,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2e,Petrol (average biofuel blend) tonnes,2942.05
237,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,tonnes,kg CH4,Petrol (average biofuel blend) tonnes,9.08
238,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,tonnes,kg CO2,Petrol (average biofuel blend) tonnes,2924.82
239,Scope 1,Fuels,Liquid fuels,Petrol (average biofuel blend),,Tonnes,tonnes,tonnes,kg N2O,Petrol (average biofuel blend) tonnes,8.16
240,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Petrol (100% mineral petrol) kWh (Gross CV),0.2412
241,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Petrol (100% mineral petrol) kWh (Gross CV),0.00071
242,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Petrol (100% mineral petrol) kWh (Gross CV),0.23986
243,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Petrol (100% mineral petrol) kWh (Gross CV),0.00064
244,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Petrol (100% mineral petrol) kWh (Net CV),0.2539
245,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Petrol (100% mineral petrol) kWh (Net CV),0.00075
246,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Petrol (100% mineral petrol) kWh (Net CV),0.25248
247,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Petrol (100% mineral petrol) kWh (Net CV),0.00067
248,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,litres,kg CO2e,Petrol (100% mineral petrol) litres,2.31467
249,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,litres,kg CH4,Petrol (100% mineral petrol) litres,0.0068
250,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,litres,kg CO2,Petrol (100% mineral petrol) litres,2.30176
251,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Volume,litres,litres,kg N2O,Petrol (100% mineral petrol) litres,0.00611
252,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Tonnes,tonnes,tonnes,kg CO2e,Petrol (100% mineral petrol) tonnes,3152.58
253,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Tonnes,tonnes,tonnes,kg CH4,Petrol (100% mineral petrol) tonnes,9.26
254,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Tonnes,tonnes,tonnes,kg CO2,Petrol (100% mineral petrol) tonnes,3135
255,Scope 1,Fuels,Liquid fuels,Petrol (100% mineral petrol),,Tonnes,tonnes,tonnes,kg N2O,Petrol (100% mineral petrol) tonnes,8.32
256,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Processed fuel oils - residual oil kWh (Gross CV),0.26775
257,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Processed fuel oils - residual oil kWh (Gross CV),0.00035
258,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Processed fuel oils - residual oil kWh (Gross CV),0.26675
259,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Processed fuel oils - residual oil kWh (Gross CV),0.00065
260,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Processed fuel oils - residual oil kWh (Net CV),0.28484
261,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Processed fuel oils - residual oil kWh (Net CV),0.00037
262,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Processed fuel oils - residual oil kWh (Net CV),0.28378
263,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Processed fuel oils - residual oil kWh (Net CV),0.00069
264,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Volume,litres,litres,kg CO2e,Processed fuel oils - residual oil litres,3.18317
265,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Volume,litres,litres,kg CH4,Processed fuel oils - residual oil litres,0.00413
266,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Volume,litres,litres,kg CO2,Processed fuel oils - residual oil litres,3.17133
267,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Volume,litres,litres,kg N2O,Processed fuel oils - residual oil litres,0.00771
268,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Tonnes,tonnes,tonnes,kg CO2e,Processed fuel oils - residual oil tonnes,3221.37
269,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Tonnes,tonnes,tonnes,kg CH4,Processed fuel oils - residual oil tonnes,4.18
270,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Tonnes,tonnes,tonnes,kg CO2,Processed fuel oils - residual oil tonnes,3209.38
271,Scope 1,Fuels,Liquid fuels,Processed fuel oils - residual oil,,Tonnes,tonnes,tonnes,kg N2O,Processed fuel oils - residual oil tonnes,7.81
272,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Processed fuel oils - distillate oil kWh (Gross CV),0.25672
273,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Processed fuel oils - distillate oil kWh (Gross CV),0.00026
274,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Processed fuel oils - distillate oil kWh (Gross CV),0.25359
275,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Processed fuel oils - distillate oil kWh (Gross CV),0.00286
276,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Processed fuel oils - distillate oil kWh (Net CV),0.2731
277,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Processed fuel oils - distillate oil kWh (Net CV),0.00028
278,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Processed fuel oils - distillate oil kWh (Net CV),0.26978
279,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Processed fuel oils - distillate oil kWh (Net CV),0.00305
280,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Volume,litres,litres,kg CO2e,Processed fuel oils - distillate oil litres,2.75776
281,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Volume,litres,litres,kg CH4,Processed fuel oils - distillate oil litres,0.00282
282,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Volume,litres,litres,kg CO2,Processed fuel oils - distillate oil litres,2.72417
283,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Volume,litres,litres,kg N2O,Processed fuel oils - distillate oil litres,0.03077
284,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Tonnes,tonnes,tonnes,kg CO2e,Processed fuel oils - distillate oil tonnes,3229.34
285,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Tonnes,tonnes,tonnes,kg CH4,Processed fuel oils - distillate oil tonnes,3.31
286,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Tonnes,tonnes,tonnes,kg CO2,Processed fuel oils - distillate oil tonnes,3190
287,Scope 1,Fuels,Liquid fuels,Processed fuel oils - distillate oil,,Tonnes,tonnes,tonnes,kg N2O,Processed fuel oils - distillate oil tonnes,36.03
288,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Refinery miscellaneous kWh (Gross CV),0.24667
289,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Refinery miscellaneous kWh (Gross CV),0.00028
290,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Refinery miscellaneous kWh (Gross CV),0.24571
291,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Refinery miscellaneous kWh (Gross CV),0.00068
292,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Refinery miscellaneous kWh (Net CV),0.25966
293,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Refinery miscellaneous kWh (Net CV),0.0003
294,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Refinery miscellaneous kWh (Net CV),0.25864
295,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Refinery miscellaneous kWh (Net CV),0.00071
296,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Volume,litres,litres,kg CO2e,Refinery miscellaneous litres,
297,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Volume,litres,litres,kg CH4,Refinery miscellaneous litres,
298,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Volume,litres,litres,kg CO2,Refinery miscellaneous litres,
299,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Volume,litres,litres,kg N2O,Refinery miscellaneous litres,
300,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Tonnes,tonnes,tonnes,kg CO2e,Refinery miscellaneous tonnes,2944.82
301,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Tonnes,tonnes,tonnes,kg CH4,Refinery miscellaneous tonnes,3.39
302,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Tonnes,tonnes,tonnes,kg CO2,Refinery miscellaneous tonnes,2933.33
303,Scope 1,Fuels,Liquid fuels,Refinery miscellaneous,,Tonnes,tonnes,tonnes,kg N2O,Refinery miscellaneous tonnes,8.09
304,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Waste oils kWh (Gross CV),0.25674
305,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Waste oils kWh (Gross CV),0.00025
306,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Waste oils kWh (Gross CV),0.25248
307,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Waste oils kWh (Gross CV),0.00401
308,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Waste oils kWh (Net CV),0.27494
309,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Waste oils kWh (Net CV),0.00027
310,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Waste oils kWh (Net CV),0.27038
311,Scope 1,Fuels,Liquid fuels,Waste oils,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Waste oils kWh (Net CV),0.00429
312,Scope 1,Fuels,Liquid fuels,Waste oils,,Volume,litres,litres,kg CO2e,Waste oils litres,
313,Scope 1,Fuels,Liquid fuels,Waste oils,,Volume,litres,litres,kg CH4,Waste oils litres,
314,Scope 1,Fuels,Liquid fuels,Waste oils,,Volume,litres,litres,kg CO2,Waste oils litres,
315,Scope 1,Fuels,Liquid fuels,Waste oils,,Volume,litres,litres,kg N2O,Waste oils litres,
316,Scope 1,Fuels,Liquid fuels,Waste oils,,Tonnes,tonnes,tonnes,kg CO2e,Waste oils tonnes,3224.58
317,Scope 1,Fuels,Liquid fuels,Waste oils,,Tonnes,tonnes,tonnes,kg CH4,Waste oils tonnes,3.17
318,Scope 1,Fuels,Liquid fuels,Waste oils,,Tonnes,tonnes,tonnes,kg CO2,Waste oils tonnes,3171.09
319,Scope 1,Fuels,Liquid fuels,Waste oils,,Tonnes,tonnes,tonnes,kg N2O,Waste oils tonnes,50.33
320,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Marine gas oil kWh (Gross CV),0.25836
321,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Marine gas oil kWh (Gross CV),0.00006
322,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Marine gas oil kWh (Gross CV),0.25486
323,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Marine gas oil kWh (Gross CV),0.00343
324,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Marine gas oil kWh (Net CV),0.27485
325,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Marine gas oil kWh (Net CV),0.00007
326,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Marine gas oil kWh (Net CV),0.27113
327,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Marine gas oil kWh (Net CV),0.00365
328,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Volume,litres,litres,kg CO2e,Marine gas oil litres,2.7754
329,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Volume,litres,litres,kg CH4,Marine gas oil litres,0.00069
330,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Volume,litres,litres,kg CO2,Marine gas oil litres,2.73782
331,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Volume,litres,litres,kg N2O,Marine gas oil litres,0.03689
332,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Tonnes,tonnes,tonnes,kg CO2e,Marine gas oil tonnes,3249.99
333,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Tonnes,tonnes,tonnes,kg CH4,Marine gas oil tonnes,0.81
334,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Tonnes,tonnes,tonnes,kg CO2,Marine gas oil tonnes,3205.99
335,Scope 1,Fuels,Liquid fuels,Marine gas oil,,Tonnes,tonnes,tonnes,kg N2O,Marine gas oil tonnes,43.2
336,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Marine fuel oil kWh (Gross CV),0.26261
337,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Marine fuel oil kWh (Gross CV),0.00011
338,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Marine fuel oil kWh (Gross CV),0.25883
339,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Marine fuel oil kWh (Gross CV),0.00368
340,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Marine fuel oil kWh (Net CV),0.27937
341,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Marine fuel oil kWh (Net CV),0.00011
342,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Marine fuel oil kWh (Net CV),0.27535
343,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Marine fuel oil kWh (Net CV),0.00391
344,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Volume,litres,litres,kg CO2e,Marine fuel oil litres,3.12204
345,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Volume,litres,litres,kg CH4,Marine fuel oil litres,0.00126
346,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Volume,litres,litres,kg CO2,Marine fuel oil litres,3.07707
347,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Volume,litres,litres,kg N2O,Marine fuel oil litres,0.04372
348,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Tonnes,tonnes,tonnes,kg CO2e,Marine fuel oil tonnes,3159.5
349,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Tonnes,tonnes,tonnes,kg CH4,Marine fuel oil tonnes,1.27
350,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Tonnes,tonnes,tonnes,kg CO2,Marine fuel oil tonnes,3113.99
351,Scope 1,Fuels,Liquid fuels,Marine fuel oil,,Tonnes,tonnes,tonnes,kg N2O,Marine fuel oil tonnes,44.24
352,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Coal (industrial) kWh (Gross CV),0.3204
353,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Coal (industrial) kWh (Gross CV),0.0013
354,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Coal (industrial) kWh (Gross CV),0.31697
355,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Coal (industrial) kWh (Gross CV),0.00213
356,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Coal (industrial) kWh (Net CV),0.33726
357,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Coal (industrial) kWh (Net CV),0.00137
358,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Coal (industrial) kWh (Net CV),0.33365
359,Scope 1,Fuels,Solid fuels,Coal (industrial),,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Coal (industrial) kWh (Net CV),0.00224
360,Scope 1,Fuels,Solid fuels,Coal (industrial),,Tonnes,tonnes,tonnes,kg CO2e,Coal (industrial) tonnes,2380.01
361,Scope 1,Fuels,Solid fuels,Coal (industrial),,Tonnes,tonnes,tonnes,kg CH4,Coal (industrial) tonnes,9.66
362,Scope 1,Fuels,Solid fuels,Coal (industrial),,Tonnes,tonnes,tonnes,kg CO2,Coal (industrial) tonnes,2354.55
363,Scope 1,Fuels,Solid fuels,Coal (industrial),,Tonnes,tonnes,tonnes,kg N2O,Coal (industrial) tonnes,15.8
364,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Coal (electricity generation) kWh (Gross CV),0.31666
365,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Coal (electricity generation) kWh (Gross CV),0.00009
366,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Coal (electricity generation) kWh (Gross CV),0.31478
367,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Coal (electricity generation) kWh (Gross CV),0.00179
368,Scope 1,Fuels,Solid fuels,Coal (electricity generation),,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Coal (electricity generation) kWh (Net CV),0.33333
